company,website,email,icp_score,personalization
Поток,potok.io,info@potok.io,2,"Передовые решения для ускорения подбора и адаптации, развития сотрудников и роста вовлеченности"
HFLabs,hflabs.ru,ask@hflabs.ru,2,Российский разработчик программного обеспечения для повышения качества клиентских данных
kontur.ru,kontur.ru,info@kontur.ru,1,kontur.ru
Моё дело,moedelo.org,support@moedelo.org,2,Аутсорсинг бухгалтерии «Моё дело» - от 5200 ₽/мес
DaData,dadata.ru,info@dadata.ru,2,"Проверяем, исправляем и отдаём вагон ценной информации по ФИО, адресам, телефонам, email, паспортам и реквизитам компаний — онлайн"
Финолог,finolog.ru,hello@finolog.ru,2,Налаживает систему управленческого учета в вашем бизнесе
Интернет,cloudpayments.ru,pr@cp.ru,2,Сервис приема онлайн-платежей для интернет-магазинов
"Платежная система Robokassa: сервис приема онлайн платежей в интернете для ИП, ООО и самозанятых",robokassa.ru,support@robokassa.ru,2,Прием онлайн-платежей с поддержкой всех популярных методов и инструментов
Moving Work Forward,pyrus.com,info@pyrus.com,2,Pyrus is the team communication tool that helps get things done
Weeek,weeek.net,info@weeek.net,2,Помогаем командам управлять проектами и задачами
Shtab AI,shtab.app,hi@shtab.app,2,"AI-система управления проектами, задачами, знаниями и OKR"
ELMA365,elma365.com,inbox@elma365.com,1,ELMA365 — Low-code платформа для автоматизации бизнеса и бизнес-процессов
Directum,directum.ru,info@directum.ru,1,"Экосистема Directum включает продукты для управления стратегией, кадровыми процессами, проектами, сервисами и документами"
NAUMEN,naumen.ru,sales@naumen.ru,1,Вендор и интегратор решений для бизнеса и органов власти
Saby (ранее СБИС или sbis),sbis.ru,info@sbis.ru,1,Ведите бизнес в одной системе — Saby (ранее СБИС или sbis)
omnidesk.ru,omnidesk.ru,info@omnidesk.ru,1,omnidesk.ru
Юздеск,usedesk.ru,founders@usedesk.ru,2,Хелпдеск для клиентской поддержки на русском языке с ИИ-функциями
GetCourse,getcourse.ru,support@getcourse.ru,1,"Геткурс – платформа для запуска онлайн курса, школы, лучшее решение для дистанционного обучения взрослых и детей, проведения вебин"
Бизон 365: образовательная платформа для онлайн обучения,bizon365.ru,support@bizon365.ru,1,"Образовательная платформа для обучения: вебинары, автовебинары и онлайн-курсы"
YCLIENTS,yclients.com,support@yclients.com,2,YCLIENTS — CRM-система для автоматизации и управления бизнесом в сфере услуг
"Билетная система для концерта, спорта, конференции, театра, выставки",qtickets.ru,info@qtickets.ru,1,"Автоматизированная билетная система полного цикла: распространение, продажи, контроль билетов"
Staffcop,staffcop.ru,info@staffcop.ru,1,"Staffcop – предназначен для расследования инцидентов, отслеживания потоков информации и сбора аналитики, а также предупреждения не"
SearchInform: информационная безопасность предприятия. Защита конфиденциальной информации компании от утечки,searchinform.ru,info@searchinform.ru,1,«СёрчИнформ» – российский разработчик средств информационной безопасности и инструментов для защиты информации
Signum.AI,signum.ai,hi@signum.ai,1,"Signum.AI is the AI visibility platform that reveals what shapes brand presence in ChatGPT, Perplexity and Gemini, what competitor"
b2b-center.ru,b2b-center.ru,info@b2b-center.ru,1,b2b-center.ru
